ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
1678-4588,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_e,"Nr. 1.1966 - 22.1979; Vol. 23.1980,1 -vol. 59, n. 2 (apr./june 2016)",1966 -,1966
1678-4588,0011-5258,Dados: Revista de Ciências Sociais,DOAJ,1996,Dados: Revista de Ciências Sociais,issn_e,Nachgewiesen 39.1996 -,1996 -,1996
0012-7353,0012-7353,Dyna,DOAJ,2002,Dyna,issn_print,1.1933 - 10.1943[?]; 11.1944 - 28.1962 = Nr. 49-77; Nr. 78.1965 - 118.1994; 42.1995=Nr. 119 -,1965 -,1965
0012-7353,0012-7353,Dyna,DOAJ,2002,Dyna,issn_print,Nachgewiesen 125.1998 -,1998 -,1998
0013-6662,0013-6662,Emerita,DOAJ,1974,Emerita,issn_print,1.1933 - 5.1937; 7.1939 -,1939 -,1939
0013-6662,0013-6662,Emerita,DOAJ,1974,Emerita,issn_print,1.1933 - 5.1937; 7.1939 -,1939 -,1939
1988-8384,0013-6662,Emerita,DOAJ,1974,Emerita,issn_e,1.1933 - 5.1937; 7.1939 -,1939 -,1939
0013-970X,0013-970X,Építőanyag: Journal of Silicate Based and Composite Materials,DOAJ,2013,Építőanyag: Journal of Silicate Based and Composite Materials,issn_print,Nachgewiesen 54.2002 -,2002 -,2002
0013-970X,0013-970X,Építőanyag: Journal of Silicate Based and Composite Materials,DOAJ,2013,Építőanyag: Journal of Silicate Based and Composite Materials,issn_print,1.1949 - 63.2011,1949 -,1949
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,"1=[80.]1949/50,Okt. - 8=[87.]1956; 88.1957 -",1957 -,1957
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,"1=[80.]1949/50,Okt. - 8=[87.]1956; 88.1957 -",1957 -,1957
0013-9998,0013-9998,DIE ERDE: Journal of the Geographical Society of Berlin,DOAJ,2013,DIE ERDE: Journal of the Geographical Society of Berlin,issn_print,1.2003 -,2003 -,2003
0015-0010,0015-0010,Fennia: International Journal of Geography,DOAJ,2010,Fennia: International Journal of Geography,issn_print,1.1889 - 187.2009,1889 -,1889
0015-0010,0015-0010,Fennia: International Journal of Geography,DOAJ,2010,Fennia: International Journal of Geography,issn_print,Nachgewiesen 2001 -,2001 -,2001
0015-4040,0015-4040,Florida Entomologist,DOAJ,1994,Florida Entomologist,issn_print,4.1920 -,1920 -,1920
0017-0011,0017-0011,Ginekologia Polska,DOAJ,2007,Ginekologia Polska,issn_print,"1.1922 - 18.1939,6; 19.1948 -",1948 -,1948
1988-4214,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_e,1.1950 - 64.2013,1950 -,1950
1988-4214,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_e,Nachgewiesen 42.1991 -,1991 -,1991
0017-3495,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_print,1.1950 - 64.2013,1950 -,1950
0017-3495,0017-3495,Grasas y Aceites,DOAJ,1991,Grasas y Aceites,issn_print,Nachgewiesen 42.1991 -,1991 -,1991
0017-3916,0017-3916,"Greek, Roman, and Byzantine Studies",DOAJ,2004,"Greek, Roman, and Byzantine Studies",issn_print,1.1958 -,1958 -,1958
1601-5223,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_e,1.1920 -,1920 -,1920
1601-5223,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_e,1.1920 - 141.2004; damit Ersch. eingest.,1920 -,1920
0018-0661,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_print,1.1920 -,1920 -,1920
0018-0661,0018-0661,Hereditas,DOAJ,2005,Hereditas,issn_print,1.1920 - 141.2004; damit Ersch. eingest.,1920 -,1920
0018-215X,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_print,1.1948 - ; auch mit durchgehender Nr.-Zählung,1948 -,1948
0018-215X,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_print,1.1948 -   ; auch mit durchgehender Nr.-Zählung,1948 -,1948
1988-4265,0018-215X,Hispania Sacra,DOAJ,2001,Hispania Sacra,issn_e,1.1948 - ; auch mit durchgehender Nr.-Zählung,1948 -,1948
0976-2817,0019-5049,Indian Journal of Anaesthesia,DOAJ,2002,Indian Journal of Anaesthesia,issn_e,1.1953 -,1953 -,1953
0976-2817,0019-5049,Indian Journal of Anaesthesia,DOAJ,2002,Indian Journal of Anaesthesia,issn_e,Nachgewiesen 46.2002 -,2002 -,2002
0019-5049,0019-5049,Indian Journal of Anaesthesia,DOAJ,2002,Indian Journal of Anaesthesia,issn_print,1.1953 -,1953 -,1953
0019-5049,0019-5049,Indian Journal of Anaesthesia,DOAJ,2002,Indian Journal of Anaesthesia,issn_print,Nachgewiesen 46.2002 -,2002 -,2002
1998-3611,0019-5154,Indian Journal of Dermatology,DOAJ,2005,Indian Journal of Dermatology,issn_e,1.1955 -,1955 -,1955
1998-3611,0019-5154,Indian Journal of Dermatology,DOAJ,2005,Indian Journal of Dermatology,issn_e,1.1955 -,1955 -,1955
0019-5154,0019-5154,Indian Journal of Dermatology,DOAJ,2005,Indian Journal of Dermatology,issn_print,1.1955 -,1955 -,1955
0019-5154,0019-5154,Indian Journal of Dermatology,DOAJ,2005,Indian Journal of Dermatology,issn_print,1.1955 -,1955 -,1955
1998-3727,0019-5413,Indian Journal of Orthopaedics,DOAJ,2005,Indian Journal of Orthopaedics,issn_e,1.1967 -,1967 -,1967
1998-3727,0019-5413,Indian Journal of Orthopaedics,DOAJ,2005,Indian Journal of Orthopaedics,issn_e,Nachgewiesen 38.2004 -,2004 -,2004
0019-5413,0019-5413,Indian Journal of Orthopaedics,DOAJ,2005,Indian Journal of Orthopaedics,issn_print,1.1967 -,1967 -,1967
0019-5413,0019-5413,Indian Journal of Orthopaedics,DOAJ,2005,Indian Journal of Orthopaedics,issn_print,Nachgewiesen 38.2004 -,2004 -,2004
0019-5545,0019-5545,Indian Journal of Psychiatry,DOAJ,2007,Indian Journal of Psychiatry,issn_print,Nachgewiesen 15.1973 -,1973 -,1973
0019-5545,0019-5545,Indian Journal of Psychiatry,DOAJ,2007,Indian Journal of Psychiatry,issn_print,1.1958 -,1958 -,1958
1998-3794,0019-5545,Indian Journal of Psychiatry,DOAJ,2007,Indian Journal of Psychiatry,issn_e,Nachgewiesen 15.1973 -,1973 -,1973
1998-3794,0019-5545,Indian Journal of Psychiatry,DOAJ,2007,Indian Journal of Psychiatry,issn_e,1.1958 -,1958 -,1958
0020-0883,0020-0883,Informes de la Construccion,DOAJ,1971,Informes de la Construccion,issn_print,1.1948 -     ; auch mit durchgehender Nr.-Zählung,1948 -,1948
0021-2571,0021-2571,Annali dell'Istituto Superiore di Sanità,DOAJ,2001,Annali dell'Istituto Superiore di Sanità,issn_print,1.1965 -,1965 -,1965
0021-2571,0021-2571,Annali dell'Istituto Superiore di Sanità,DOAJ,2001,Annali dell'Istituto Superiore di Sanità,issn_print,1.1938 -,1938 -,1938
1678-4782,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_e,1.1934 -,1934 -,1934
1678-4782,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_e,Nachgewiesen 77.2001 -,2001 -,2001
0021-7557,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_print,1.1934 -,1934 -,1934
0021-7557,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_print,Nachgewiesen 77.2001 -,2001 -,2001
0022-3859,0022-3859,Journal of Postgraduate Medicine,DOAJ,1990,Journal of Postgraduate Medicine,issn_print,1.1955 -,1955 -,1955
0022-3859,0022-3859,Journal of Postgraduate Medicine,DOAJ,1990,Journal of Postgraduate Medicine,issn_print,Nachgewiesen 26.1980 -,1980 -,1980
0022-9830,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_print,Nachgewiesen 50.2001 -,2001 -,2001
0022-9830,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_print,1.1952 -,1952 -,1952
1334-9090,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_e,Nachgewiesen 50.2001 -,2001 -,2001
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,1.1915 -,1915 -,1915
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,Nachgewiesen 86.2000 -,2000 -,2000
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,Nachgewiesen 2.1978 -,1978 -,1978
0023-8082,0023-8082,Landtechnik,DOAJ,2015,Landtechnik,issn_e,1.1946 - 69.2014,1946 -,1946
1542-4278,0023-8791,Latin American Research Review,DOAJ,2017,Latin American Research Review,issn_e,1.1965 -,1965 -,1965
0025-7974,0025-7974,Medicine,DOAJ,2014,Medicine,issn_print,1.1922 - 92.2013,1922 -,1922
0025-7974,0025-7974,Medicine,DOAJ,2014,Medicine,issn_print,1.1922 -,1922 -,1922
1536-5964,0025-7974,Medicine,DOAJ,2014,Medicine,issn_e,1.1922 - 92.2013,1922 -,1922
1536-5964,0025-7974,Medicine,DOAJ,2014,Medicine,issn_e,1.1922 -,1922 -,1922
0026-1165,0026-1165,Journal of the Meteorological Society of Japan,DOAJ,2018,Journal of the Meteorological Society of Japan,issn_print,2.Ser. 43.1965 - 66.1988; 67.1989 -,1989 -,1989
0026-1165,0026-1165,Journal of the Meteorological Society of Japan,DOAJ,2018,Journal of the Meteorological Society of Japan,issn_print,Nachgewiesen 79.2001 -,2001 -,2001
0026-704X,0026-704X,Mljekarstvo,DOAJ,2001,Mljekarstvo,issn_print,1.1951 -,1951 -,1951
0026-704X,0026-704X,Mljekarstvo,DOAJ,2001,Mljekarstvo,issn_print,1.1951 -,1951 -,1951
0028-2715,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_print,Nachgewiesen 3.1965 - ; auch mit durchgehender Nr.-Zählung,1965 -,1965
1815-672X,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_e,Nachgewiesen 3.1965 - ; auch mit durchgehender Nr.-Zählung,1965 -,1965
0029-5922,0029-5922,Nukleonika,DOAJ,2014,Nukleonika,issn_print,1.1956 -,1956 -,1956
2219-0635,0030-2465,Onderstepoort Journal of Veterinary Research,DOAJ,2003,Onderstepoort Journal of Veterinary Research,issn_e,Nachgewiesen 54.1987 -,1987 -,1987
0030-2465,0030-2465,Onderstepoort Journal of Veterinary Research,DOAJ,2003,Onderstepoort Journal of Veterinary Research,issn_print,Nachgewiesen 54.1987 -,1987 -,1987
0030-9311,0030-9311,Paediatrica Indonesiana,DOAJ,2001,Paediatrica Indonesiana,issn_print,1.1962 -,1962 -,1962
0030-9311,0030-9311,Paediatrica Indonesiana,DOAJ,2001,Paediatrica Indonesiana,issn_print,Nachgewiesen 41.2001 -,2001 -,2001
